[07-04-23 01:34:30.336] LOG  : General     , 1680842070336> 1680842070336 fmod: FMOD::Studio::System::Initialize() result: No errors..
[07-04-23 01:34:30.336] LOG  : General     , 1680842070336> 1680842070336 fmod: Creating DSP for capture sound.
[07-04-23 01:34:30.337] LOG  : General     , 1680842070337> 1680842070337 fmod: FMOD_System_CreateDSP() result: No errors..
[07-04-23 01:34:30.338] LOG  : General     , 1680842070338> 1680842070338 fmod: FMOD_DSP_SetBypass() result: No errors..
[07-04-23 01:34:30.339] LOG  : General     , 1680842070339> 1680842070339 fmod: FMOD_System_GetMasterChannelGroup() result: No errors..
[07-04-23 01:34:30.340] LOG  : General     , 1680842070340> 1680842070339 fmod: FMOD_ChannelGroup_AddDSP() result: No errors..
[07-04-23 01:34:30.340] LOG  : General     , 1680842070340> 1680842070340 fmod: FMOD_System_Set3DSettings() result: No errors..
[07-04-23 01:34:33.497] LOG  : General     , 1680842073497> GraphicsCard: ATI Technologies Inc. Radeon RX 570 Series.
[07-04-23 01:34:33.526] LOG  : General     , 1680842073525> OpenGL version: 4.6.0 Compatibility Profile Context 22.11.2.221130.
[07-04-23 01:34:33.527] LOG  : General     , 1680842073527> Desktop resolution 1920x1080.
[07-04-23 01:34:33.530] LOG  : General     , 1680842073530> Initial resolution 1760x990 fullScreen=true.
[07-04-23 01:34:33.532] LOG  : General     , 1680842073532> OpenGL 1.5 buffer objects supported.
[07-04-23 01:34:33.534] LOG  : General     , 1680842073534> VSync: OFF.
[07-04-23 01:34:33.570] LOG  : General     , 1680842073570> Init language : pt.
[07-04-23 01:34:33.573] LOG  : General     , 1680842073573> ATI: available texture memory is 8159 MB.
[07-04-23 01:34:41.934] LOG  : General     , 1680842081934> AngelCodeFont failed to load page 0 texture D:/Joguinhos/Project.Zomboid.v41.78.16/Project Zomboid v41.78.16/media/mainfont_0.png.
[07-04-23 01:34:41.938] LOG  : General     , 1680842081938> AngelCodeFont failed to load page 0 texture D:/Joguinhos/Project.Zomboid.v41.78.16/Project Zomboid v41.78.16/media/mainfont2_0.png.
[07-04-23 01:34:41.965] WARN : General     , 1680842081965> TextManager.Init> font "MediumNew" not found in fonts.txt.
[07-04-23 01:34:41.966] WARN : General     , 1680842081966> TextManager.Init> font "AutoNormSmall" not found in fonts.txt.
[07-04-23 01:34:41.966] WARN : General     , 1680842081966> TextManager.Init> font "AutoNormMedium" not found in fonts.txt.
[07-04-23 01:34:41.966] WARN : General     , 1680842081966> TextManager.Init> font "AutoNormLarge" not found in fonts.txt.
